orthogroup,species,locus_tag,gene_position,base_length,gene,product,bp_length
OG0001261,Bartonella_bovis_91-4,NA,NA,NA,NA,NA,NA
OG0001261,Bartonella_elizabethae_NCTC12898,EL285_RS00720,NA,NA,,hypothetical protein,330
OG0001261,Bartonella_gerbillinarum_FN71,IPKPMCFA_00425,NA,NA,,hypothetical protein,315
OG0001261,Bartonella_gerbillinarum_OE1-2_A1,NGMDFPDP_01019,NA,NA,,hypothetical protein,369
OG0001261,Bartonella_gerbillinarum_OE1-2_A2,DCJOKJGC_00896,NA,NA,,hypothetical protein,369
OG0001261,Bartonella_gerbillinarum_OE1-2_B1,PEOOCOEB_01074,NA,NA,,hypothetical protein,318
OG0001261,Bartonella_gerbillinarum_OE1-2_B2,MHFFGBDM_01132,NA,NA,,hypothetical protein,315
OG0001261,Bartonella_gerbillinarum_OE1-2_B3,EPECHDMP_00877,NA,NA,,hypothetical protein,315
OG0001261,Bartonella_gerbillinarum_OE1-2_C,EMBLIICP_01074,NA,NA,,hypothetical protein,318
OG0001261,Bartonella_gerbillinarum_OE3-1_A,OIDCCKFD_00956,NA,NA,,hypothetical protein,318
OG0001261,Bartonella_gerbillinarum_OE3-1_B1,CAHOLCOL_01197,NA,NA,,hypothetical protein,315
OG0001261,Bartonella_gerbillinarum_OE3-1_B2,GCDFGLPA_01017,NA,NA,,hypothetical protein,315
OG0001261,Bartonella_gerbillinarum_OE3-1_B3,IHHODCJK_01001,NA,NA,,hypothetical protein,315
OG0001261,Bartonella_gerbillinarum_OE3-1_B4,MJAEBMJE_01282,NA,NA,,hypothetical protein,315
OG0001261,Bartonella_gerbillinarum_OE3-1_B5,JPLDOKKC_00826,NA,NA,,hypothetical protein,315
OG0001261,Bartonella_gerbillinarum_OE3-1_C,NMIIJIPG_00869,NA,NA,,hypothetical protein,315
OG0001261,Bartonella_grahamii_as4aup,BGR_RS01295,NA,NA,,hypothetical protein,330
OG0001261,Bartonella_henselae_BM1374163,PRJBM_RS01250,NA,NA,,hypothetical protein,312
OG0001261,Bartonella_khokhlovae_OE5-1_A,BMMGAKCC_01149,NA,NA,,hypothetical protein,321
OG0001261,Bartonella_khokhlovae_OE5-1_B,FGBOIPEM_01057,NA,NA,,hypothetical protein,321
OG0001261,Bartonella_khokhlovae_OE5-1_C,OGFLLMDA_01200,NA,NA,,hypothetical protein,321
OG0001261,Bartonella_krasnovii_FN12-1,EMOIKDEC_00429,331,A9,,hypothetical protein,381
OG0001261,Bartonella_krasnovii_OE1-1_A1,JEMLOCML_00662,280,A9,,hypothetical protein,330
OG0001261,Bartonella_krasnovii_OE1-1_A2,CNPEIIHJ_00350,280,A9,,hypothetical protein,330
OG0001261,Bartonella_krasnovii_OE1-1_A3,FNJMBGLL_00719,280,A9,,hypothetical protein,330
OG0001261,Bartonella_krasnovii_OE1-1_A4,KJGNIHHA_00099,280,A9,,hypothetical protein,330
OG0001261,Bartonella_krasnovii_OE1-1_A5,ELDOKPEM_00530,280,A9,,hypothetical protein,330
OG0001261,Bartonella_krasnovii_OE1-1_B,BOFBMHLF_00349,280,A9,,hypothetical protein,330
OG0001261,Bartonella_krasnovii_OE1-1_C1,LKICNHNN_01101,280,A9,,hypothetical protein,330
OG0001261,Bartonella_krasnovii_OE1-1_C2,NGJGDJAJ_00558,280,A9,,hypothetical protein,330
OG0001261,Bartonella_krasnovii_OE1-1_C3,MOMDPIKI_00613,280,A9,,hypothetical protein,330
OG0001261,Bartonella_krasnovii_OE1-1_D1,CHDJJCHF_00524,280,A9,,hypothetical protein,330
OG0001261,Bartonella_krasnovii_OE1-1_D2,GCOMBPFH_00348,280,A9,,hypothetical protein,330
OG0001261,Bartonella_krasnovii_OE1-1_D3,JGDFGBJJ_00348,280,A9,,hypothetical protein,330
OG0001261,Bartonella_krasnovii_OE1-1_D4,GFDDFGGD_00583,280,A9,,hypothetical protein,330
OG0001261,Bartonella_krasnovii_OE1-1_D5,BINCMBPP_01546,280,A9,,hypothetical protein,330
OG0001261,Bartonella_krasnovii_OE1-1_G,DJDNEOMB_00866,280,A9,,hypothetical protein,330
OG0001261,Bartonella_krasnovii_OE1-1_H,GMAGJBIB_00099,280,A9,,hypothetical protein,330
OG0001261,Bartonella_krasnovii_OY11,PDPJCBEH_00290,NA,NA,,hypothetical protein,330
OG0001261,Bartonella_negeviensis_ga95fn6_A,NA,NA,NA,NA,NA,NA
OG0001261,Bartonella_negeviensis_ga95fn6_B,NA,NA,NA,NA,NA,NA
OG0001261,Bartonella_negeviensis_ga95fn6_C,NA,NA,NA,NA,NA,NA
OG0001261,Bartonella_queenslandensis_AUST-NH15,BN338_RS08165,NA,NA,,hypothetical protein,318
OG0001261,Bartonella_quintana_MF1-1,MF1_RS01190,NA,NA,,hypothetical protein,315
OG0001261,Bartonella_rattaustraliani_AUST-NH4,BN67_RS00650,NA,NA,,hypothetical protein,378
OG0001261,Bartonella_tribocorum_BM1374166,BM1374166_RS01270,NA,NA,,hypothetical protein,318
